ID,realSum,room_type,person_capacity,bedrooms,dist,metro_dist,City,Host_ID
173,780.59,Entire home/apt,4,2,2.2,0.2,Amsterdam,2
174,228.72,Private room,2,1,1.3,1.1,Amsterdam,4
175,221.45,Private room,2,1,10.9,0.8,Amsterdam,4
176,385.96,Private room,2,0,0.2,0.4,Amsterdam,2
177,436.34,Entire home/apt,3,1,3.3,0.5,Amsterdam,3
178,626.39,Entire home/apt,4,2,2.3,0.5,Amsterdam,1
179,835.89,Entire home/apt,2,1,1.1,0.4,Amsterdam,5
180,833.31,Entire home/apt,4,2,2.4,0.5,Amsterdam,1
181,424.16,Entire home/apt,2,1,1.6,1.5,Amsterdam,1
182,602.25,Entire home/apt,4,1,2.2,1.4,Amsterdam,3
183,1425.73,Entire home/apt,4,2,0.7,0.6,Amsterdam,1
184,737.23,Entire home/apt,4,3,1.5,1.2,Amsterdam,2
185,397.21,Entire home/apt,3,1,6.4,2.4,Amsterdam,2
186,290.11,Private room,2,1,2.3,0.3,Amsterdam,4
187,221.22,Private room,2,1,2.5,1.5,Amsterdam,5
188,245.82,Private room,2,1,6.1,1.7,Amsterdam,1
189,196.61,Private room,2,1,10.5,0.3,Amsterdam,1
190,258.01,Private room,2,1,4.6,0.5,Amsterdam,3
191,1413.31,Private room,4,4,2.5,1.5,Amsterdam,2
192,479.46,Entire home/apt,2,1,4.8,0.3,Amsterdam,5
193,920.49,Entire home/apt,4,3,1.1,0.8,Amsterdam,4
194,622.88,Entire home/apt,2,1,1.8,1.6,Amsterdam,2
195,317.06,Private room,2,1,0.6,0.6,Amsterdam,4
196,344.25,Entire home/apt,3,0,5.2,3.8,Amsterdam,3
197,409.39,Entire home/apt,4,2,2.7,2.0,Amsterdam,3
198,282.61,Private room,2,1,2.2,1.5,Amsterdam,1
199,319.64,Private room,2,1,0.4,0.2,Amsterdam,5
200,290.11,Private room,2,1,2.2,1.2,Amsterdam,4
201,381.04,Private room,2,1,0.8,0.4,Amsterdam,2
202,276.52,Private room,2,1,5.9,1.5,Amsterdam,3
203,811.05,Entire home/apt,2,1,1.4,0.4,Amsterdam,1
204,1106.32,Entire home/apt,2,1,1.0,0.9,Amsterdam,1
205,435.17,Entire home/apt,2,1,2.5,0.3,Amsterdam,4
206,381.04,Private room,2,1,1.2,0.4,Amsterdam,3
207,513.67,Entire home/apt,3,2,3.1,1.9,Amsterdam,5
208,309.8,Private room,2,1,2.4,1.9,Amsterdam,3
209,516.02,Entire home/apt,4,2,1.2,1.0,Amsterdam,4
210,614.44,Private room,4,1,1.4,0.1,Amsterdam,4
211,737.23,Entire home/apt,2,1,2.4,0.6,Amsterdam,3
212,685.91,Entire home/apt,4,2,2.9,0.6,Amsterdam,4
213,823.47,Entire home/apt,5,2,3.5,1.7,Amsterdam,3
214,307.22,Entire home/apt,2,1,2.9,1.8,Amsterdam,2
215,1997.28,Entire home/apt,6,3,1.5,0.2,Amsterdam,3
216,638.81,Entire home/apt,2,1,4.0,0.9,Amsterdam,3
217,1136.55,Entire home/apt,4,3,3.2,0.5,Amsterdam,4
218,405.64,Private room,4,1,11.2,0.4,Amsterdam,4
219,400.49,Private room,2,0,0.8,0.5,Amsterdam,1
220,307.22,Private room,2,1,2.2,0.2,Amsterdam,1
221,688.02,Private room,4,2,1.3,1.2,Amsterdam,2
222,648.89,Entire home/apt,2,1,1.6,1.5,Amsterdam,1
223,331.83,Entire home/apt,2,0,2.6,2.0,Amsterdam,3
224,420.41,Entire home/apt,2,0,2.1,0.1,Amsterdam,4
225,774.26,Entire home/apt,2,1,3.2,0.7,Amsterdam,1
226,1126.94,Entire home/apt,4,2,2.9,1.2,Amsterdam,1
227,208.8,Private room,2,1,10.4,0.5,Amsterdam,2
228,522.34,Private room,4,2,2.7,1.8,Amsterdam,2
229,448.53,Private room,2,1,1.2,0.9,Amsterdam,3
230,204.11,Private room,2,1,10.9,0.2,Amsterdam,4
231,442.67,Private room,2,1,0.8,0.9,Amsterdam,2
232,325.5,Private room,2,1,3.3,0.8,Amsterdam,1
233,1351.91,Entire home/apt,4,2,0.6,0.6,Amsterdam,4
234,583.98,Entire home/apt,4,2,6.8,0.4,Amsterdam,4
235,614.44,Entire home/apt,4,3,4.1,2.1,Amsterdam,1
236,279.1,Private room,4,1,7.3,3.0,Amsterdam,2
237,345.18,Private room,2,1,1.2,0.4,Amsterdam,1
238,245.82,Private room,4,0,2.9,1.3,Amsterdam,4
239,522.34,Entire home/apt,3,2,9.5,0.5,Amsterdam,5
240,303.47,Private room,4,0,3.9,0.5,Amsterdam,5
241,798.87,Entire home/apt,5,3,3.8,0.7,Amsterdam,3
